Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"BW LPG";SGXZ69436764;BWLPG;"Oslo Børs";NOK;123,00;124,20;120,20;120,90;"26/06/2025 16:29";CET;347733;42498119,40;120,90;26/06/2025
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;30,20;30,95;29,85;30,95;"26/06/2025 16:25";CET;134756;4122099,65;30,95;26/06/2025
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;17,10;17,10;17,10;17,10;"26/06/2025 09:00";CET;30;513,00;17,10;26/06/2025
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;53,10;53,10;51,10;51,15;"26/06/2025 16:25";CET;477387;24564272,25;51,15;26/06/2025
CAMBI;NO0010078850;CAMBI;"Euronext Growth Oslo";NOK;19,55;19,55;18,60;19,05;"26/06/2025 16:25";CET;19490;369690,90;19,05;26/06/2025
"CAPSOL TECHNOLOGI";NO0010923121;CAPSL;"Oslo Børs";NOK;9,00;9,34;9,00;9,00;"26/06/2025 16:25";CET;19543;180597,44;9,00;26/06/2025
"CAVENDISH HYDROGEN";NO0013219535;CAVEN;"Oslo Børs";NOK;9,80;10,24;9,73;10,24;"26/06/2025 16:25";CET;41494;415023,47;10,24;26/06/2025
"CIRCIO HOLDING";NO0013033795;CRNA;"Oslo Børs";NOK;0,62;0,64;0,615;0,629;"26/06/2025 16:25";CET;1147414;714301,004;0,629;26/06/2025
"CLEAN SEAS SEAFOOD";AU000000CSS3;CSS;"Euronext Growth Oslo";NOK;1,00;1,00;1,00;1,00;"17/06/2025 09:00";CET;200;200,00;1,00;26/06/2025
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;11,30;12,30;11,30;12,18;"26/06/2025 16:25";CET;92511;1124910,62;12,18;26/06/2025
"CODELAB CAPITAL";NO0013483503;CODE;"Euronext Growth Oslo";NOK;2,90;3,17;2,90;2,90;"26/06/2025 16:25";CET;11800;35665,52;2,90;26/06/2025
"CONSTELLATION OIL";NO0013460071;COSH;"Euronext Growth Oslo";NOK;4,50;4,50;4,50;4,50;"25/06/2025 15:40";CET;27630;124335,00;4,50;26/06/2025
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;4,87;4,94;4,86;4,94;"26/06/2025 16:25";CET;12197;59607,10;4,94;26/06/2025
"COOL COMPANY";BMG2415A1137;CLCO;"Euronext Growth Oslo";NOK;67,30;67,90;65,90;66,50;"26/06/2025 16:25";CET;13549;905006,10;66,50;26/06/2025
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;144,30;144,30;143,80;144,10;"26/06/2025 16:25";CET;43231;6224417,60;144,10;26/06/2025
CYVIZ;NO0010015175;CYVIZ;"Euronext Growth Oslo";NOK;32,60;33,80;32,60;33,80;"26/06/2025 13:32";CET;3822;126847,20;33,80;26/06/2025
"DEEP VALUE DRILLER";NO0010955917;DVD;"Euronext Growth Oslo";NOK;15,40;16,26;15,12;15,64;"26/06/2025 16:25";CET;449833;6980855,26;15,64;26/06/2025
"DESERT CONTROL";NO0010963275;DSRT;"Euronext Growth Oslo";NOK;8,00;8,36;7,90;7,90;"26/06/2025 16:25";CET;218872;1752189,38;7,90;26/06/2025
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;274,60;276,20;273,50;274,30;"26/06/2025 16:25";CET;1314958;361050716,30;274,30;26/06/2025
DNO;NO0003921009;DNO;"Oslo Børs";NOK;12,59;12,69;12,42;12,49;"26/06/2025 16:25";CET;2532327;31712967,26;12,49;26/06/2025
"DOF GROUP";NO0012851874;DOFG;"Oslo Børs";NOK;89,70;89,70;87,30;87,60;"26/06/2025 16:25";CET;241468;21271539,40;87,60;26/06/2025
"DOLPHIN DRILLING";NO0012595950;DDRIL;"Euronext Growth Oslo";NOK;0,082;0,0886;0,0752;0,0786;"26/06/2025 16:00";CET;1137996;90821,743;0,0786;26/06/2025
"EAM SOLAR";NO0010607781;EAM;"Euronext Expand Oslo";NOK;0,208;0,209;0,187;0,1934;"26/06/2025 16:25";CET;9215669;1790403,4359;0,1934;26/06/2025
"EDDA WIND";NO0010998529;EWIND;"Oslo Børs";NOK;22,70;23,00;22,70;22,70;"27/05/2025 16:25";CET;619;14099,30;22,70;26/06/2025
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;12,55;12,55;12,55;12,55;"26/06/2025 11:21";CET;350;4392,50;12,55;26/06/2025
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;1,92;2,05;1,90;2,05;"26/06/2025 16:25";CET;121484;234876,64;2,05;26/06/2025
ELEKTROIMPORTØREN;NO0010911902;ELIMP;"Euronext Growth Oslo";NOK;15,00;15,00;14,70;14,75;"26/06/2025 16:26";CET;5090;75471,45;14,75;26/06/2025
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;23,74;23,82;23,22;23,40;"26/06/2025 16:25";CET;689182;16191447,54;23,40;26/06/2025
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;12,80;13,30;12,64;13,30;"26/06/2025 16:25";CET;175166;2271481,28;13,30;26/06/2025
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;33,50;33,90;33,50;33,80;"26/06/2025 16:25";CET;49396;1667573,15;33,80;26/06/2025
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;46,50;47,20;45,70;46,25;"26/06/2025 16:25";CET;106454;4933400,65;46,25;26/06/2025
ENDÚR;NO0012555459;ENDUR;"Oslo Børs";NOK;87,60;88,30;86,70;87,30;"26/06/2025 16:28";CET;56825;4971703,80;87,30;26/06/2025
ENERGEIA;NO0012697715;ENERG;"Euronext Growth Oslo";NOK;0,125;0,19;0,124;0,137;"26/06/2025 16:25";CET;30075128;4581692,911;0,137;26/06/2025
"ENSURGE MICROPOWER";NO0013186460;ENSU;"Oslo Børs";NOK;1,21;1,21;1,18;1,21;"26/06/2025 16:25";CET;1689389;2021013,112;1,21;26/06/2025
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;131,00;131,40;128,20;131,00;"26/06/2025 16:25";CET;89586;11689532,80;131,00;26/06/2025
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Oslo Børs";NOK;84,40;88,00;83,40;86,80;"26/06/2025 16:25";CET;305831;26374542,00;86,80;26/06/2025
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;254,10;255,00;252,30;253,60;"26/06/2025 16:28";CET;2862290;726129679,30;253,60;26/06/2025
EQVA;NO0010708605;EQVA;"Oslo Børs";NOK;4,81;4,81;4,81;4,81;"26/06/2025 16:16";CET;9418;45300,58;4,81;26/06/2025
EUROPRIS;NO0010735343;EPR;"Oslo Børs";NOK;84,50;85,40;84,50;84,70;"26/06/2025 16:25";CET;394315;33548234,40;84,70;26/06/2025
"EXACT THERAPEUTICS";NO0010852213;EXTX;"Euronext Growth Oslo";NOK;2,66;2,66;2,60;2,60;"26/06/2025 15:52";CET;33186;87174,76;2,60;26/06/2025
"FJORD DEFENCE GR";NO0010778095;DFENS;"Euronext Expand Oslo";NOK;1,695;1,695;1,47;1,59;"26/06/2025 16:25";CET;3426962;5362664,795;1,59;26/06/2025
"FLEKKEFJORD SPAREB";NO0013209858;FFSB;"Euronext Growth Oslo";NOK;126,98;127,46;126,98;126,98;"26/06/2025 16:04";CET;221;28064,02;126,98;26/06/2025
"FLEX LNG";BMG359472021;FLNG;"Oslo Børs";NOK;230,00;239,00;230,00;234,50;"26/06/2025 16:25";CET;14088;3314771,00;234,50;26/06/2025
FRONTLINE;CY0200352116;FRO;"Oslo Børs";NOK;177,40;178,55;175,35;176,25;"26/06/2025 16:27";CET;765983;135777860,00;176,25;26/06/2025
"GENTIAN DIAGNOSTIC";NO0010748866;GENT;"Oslo Børs";NOK;64,00;64,00;62,00;62,00;"26/06/2025 16:25";CET;1506;93442,00;62,00;26/06/2025
"GENTOO MEDIA";US36467X2062;G2MNO;"Oslo Børs";NOK;14,20;14,34;14,20;14,34;"26/06/2025 16:25";CET;399;5679,80;14,34;26/06/2025
"GIGANTE SALMON";NO0011013765;GIGA;"Euronext Growth Oslo";NOK;8,40;8,58;8,40;8,58;"26/06/2025 14:47";CET;2575;21877,50;8,58;26/06/2025
"GJENSIDIGE FORSIKR";NO0010582521;GJF;"Oslo Børs";NOK;253,60;256,00;251,80;253,80;"26/06/2025 16:25";CET;417711;106042661,00;253,80;26/06/2025
"GOLDEN ENERGY OFF";NO0013228585;GEOS;"Euronext Growth Oslo";NOK;18,65;19,35;18,65;19,35;"26/06/2025 15:04";CET;567;10936,45;19,35;26/06/2025
"GOLDEN OCEAN GROUP";BMG396372051;GOGL;"Oslo Børs";NOK;76,50;76,85;76,10;76,55;"26/06/2025 16:25";CET;233749;17886792,25;76,55;26/06/2025
GOODTECH;NO0004913609;GOD;"Oslo Børs";NOK;8,94;8,96;8,84;8,86;"26/06/2025 15:51";CET;7817;69681,42;8,86;26/06/2025
"GREEN MINERALS";NO0010907744;GEM;"Euronext Growth Oslo";NOK;4,00;4,15;3,37;3,37;"26/06/2025 16:28";CET;1011689;3788321,17;3,37;26/06/2025
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;73,00;74,80;72,65;73,20;"26/06/2025 16:25";CET;137048;10078103,95;73,20;26/06/2025
"GRONG SPAREBANK";NO0010636491;GRONG;"Euronext Growth Oslo";NOK;149,00;149,00;149,00;149,00;"26/06/2025 12:36";CET;1;149,00;149,00;26/06/2025
GYLDENDAL;NO0004288200;GYL;"Oslo Børs";NOK;424,00;424,00;424,00;424,00;"17/06/2025 11:11";CET;46;19504,00;420,00;26/06/2025
"HAFNIA LIMITED";SGXZ53070850;HAFNI;"Oslo Børs";NOK;53,02;53,82;52,22;52,52;"26/06/2025 16:28";CET;264950;13996219,30;52,52;26/06/2025
"HAUGESUND SPB";NO0010764053;HGSB;"Oslo Børs";NOK;180,00;180,00;180,00;180,00;"25/06/2025 10:10";CET;430;77400,00;180,00;26/06/2025
"HAV GROUP";NO0010931918;HAV;"Euronext Growth Oslo";NOK;7,00;7,00;6,72;6,80;"26/06/2025 15:51";CET;22365;153390,42;6,80;26/06/2025
"HAVILA KYSTRUTEN";NO0011045429;HKY;"Euronext Growth Oslo";NOK;1,35;1,35;1,285;1,30;"26/06/2025 14:36";CET;67143;88349,745;1,30;26/06/2025
"HAVILA SHIPPING";NO0010257728;HAVI;"Oslo Børs";NOK;1,37;1,37;1,32;1,32;"26/06/2025 15:15";CET;26159;35272,38;1,32;26/06/2025
"HERMANA HOLDING";NO0013401380;HERMA;"Oslo Børs";NOK;12,40;12,50;12,00;12,00;"26/06/2025 16:14";CET;18885;230863,00;12,00;26/06/2025
"HEXAGON COMPOSITES";NO0003067902;HEX;"Oslo Børs";NOK;17,00;18,92;16,98;18,64;"26/06/2025 16:28";CET;3796197;68706252,62;18,64;26/06/2025
"HEXAGON PURUS";NO0010904923;HPUR;"Oslo Børs";NOK;2,15;2,34;2,15;2,165;"26/06/2025 16:25";CET;1266187;2859827,47;2,165;26/06/2025
"HIMALAYA SHIPPING";BMG4660A1036;HSHP;"Oslo Børs";NOK;62,50;62,50;60,20;60,20;"26/06/2025 16:25";CET;165119;10118700,00;60,20;26/06/2025
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;2,00;2,00;1,71;1,795;"26/06/2025 16:25";CET;69901;125349,735;1,795;26/06/2025
"HORISONT ENERGI";NO0010917339;HRGI;"Euronext Growth Oslo";NOK;1,27;1,30;1,205;1,265;"26/06/2025 16:03";CET;36278;44678,285;1,265;26/06/2025
"HUDDLESTOCK FINTEC";NO0010859648;HUDL;"Euronext Growth Oslo";NOK;0,80;0,80;0,756;0,80;"26/06/2025 16:25";CET;201357;154801,804;0,80;26/06/2025
HUDDLY;NO0013470534;HDLY;"Euronext Growth Oslo";NOK;14,25;14,25;13,50;13,50;"26/06/2025 16:25";CET;2745;37282,50;13,50;26/06/2025
"HUNTER GROUP";NO0012953720;HUNT;"Euronext Expand Oslo";NOK;1,008;1,05;0,97;1,02;"26/06/2025 16:25";CET;1450473;1466143,667;1,02;26/06/2025
HYDROGENPRO;NO0010892359;HYPRO;"Oslo Børs";NOK;3,695;3,695;3,45;3,45;"26/06/2025 16:25";CET;52831;185123,45;3,45;26/06/2025
HYNION;NO0010920945;HYN;"Euronext Growth Oslo";NOK;0,169;0,225;0,154;0,1825;"26/06/2025 16:25";CET;2075235;380865,8325;0,1825;26/06/2025
"HÖEGH AUTOLINERS";NO0011082075;HAUTO;"Oslo Børs";NOK;89,80;90,10;88,00;88,65;"26/06/2025 16:29";CET;537673;47778649,60;88,65;26/06/2025
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;170,00;170,00;170,00;170,00;"26/06/2025 09:43";CET;60;10200,00;170,00;26/06/2025
"ICELANDIC SALMON";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;99,00;99,00;98,00;98,00;"26/06/2025 11:03";CET;300;29500,00;98,00;26/06/2025
"IDEX BIOMETRICS";NO0013107490;IDEX;"Oslo Børs";NOK;0,034;0,034;0,031;0,0339;"26/06/2025 16:25";CET;10901182;357998,9405;0,0339;26/06/2025
INDUCT;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;3,70;3,80;3,54;3,80;"26/06/2025 15:48";CET;25448;92008,32;3,80;26/06/2025
"INIFY LABORATORIES";SE0017486103;INIFY;"Euronext Growth Oslo";NOK;6,40;6,60;6,40;6,60;"26/06/2025 13:06";CET;1040;6834,00;6,60;26/06/2025
"ININ GROUP";NO0010864036;ININ;"Euronext Growth Oslo";NOK;2,45;2,45;2,27;2,39;"26/06/2025 16:25";CET;12380;28354,10;2,39;26/06/2025
INSTABANK;NO0010762792;INSTA;"Euronext Growth Oslo";NOK;2,41;2,45;2,40;2,40;"26/06/2025 16:26";CET;92746;224950,21;2,40;26/06/2025
"INTEGRATED WIND SO";NO0013461350;IWS;"Oslo Børs";NOK;43,495;43,495;42,50;42,99;"26/06/2025 15:52";CET;55662;2392473,50;42,99;26/06/2025
"INTEROIL EXPL PROD";NO0013119255;IOX;"Oslo Børs";NOK;1,62;1,668;1,62;1,62;"26/06/2025 16:25";CET;43400;70835,086;1,62;26/06/2025
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;9,32;9,32;9,32;9,32;"26/06/2025 15:40";CET;5000;46600,00;9,32;26/06/2025
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;5,58;5,66;5,48;5,48;"26/06/2025 16:08";CET;28678;159116,18;5,48;26/06/2025
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;350,00;353,95;350,00;353,95;"26/06/2025 14:52";CET;118;41600,10;353,95;26/06/2025
KALDVIK;NO0010884794;KLDVK;"Euronext Growth Oslo";NOK;13,40;13,50;13,40;13,50;"26/06/2025 16:14";CET;5174;69774,00;13,50;26/06/2025
KID;NO0010743545;KID;"Oslo Børs";NOK;148,40;150,40;147,00;147,20;"26/06/2025 16:27";CET;39869;5891516,80;147,20;26/06/2025
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;59,80;61,20;59,60;61,20;"26/06/2025 16:29";CET;623160;37904289,60;61,20;26/06/2025
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;62,60;62,60;60,30;60,70;"26/06/2025 16:25";CET;45419;2770247,40;60,70;26/06/2025
"KMC PROPERTIES";NO0010360175;KMCP;"Oslo Børs";NOK;0,162;0,234;0,16;0,19;"26/06/2025 16:29";CET;147322494;29361502,995;0,19;26/06/2025
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;11,60;11,60;11,00;11,25;"26/06/2025 16:25";CET;78563;883296,90;11,25;26/06/2025
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;1,618;1,65;1,602;1,626;"26/06/2025 16:25";CET;2551753;4158305,466;1,626;26/06/2025
"KONGSBERG GRUPPEN";NO0013536151;KOG;"Oslo Børs";NOK;367,10;377,85;364,70;377,65;"26/06/2025 16:29";CET;1176036;440647610,35;377,65;26/06/2025
"KRAFT BANK";NO0010815103;KRAB;"Euronext Growth Oslo";NOK;9,90;10,10;9,90;9,95;"26/06/2025 16:18";CET;60050;600751,90;9,95;26/06/2025
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;47,00;47,16;46,68;46,80;"26/06/2025 16:25";CET;266477;12479229,48;46,80;26/06/2025
LIFECARE;NO0013355859;LIFE;"Oslo Børs";NOK;5,52;5,76;5,44;5,72;"26/06/2025 16:25";CET;195257;1089283,52;5,72;26/06/2025
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;28,00;28,65;27,70;28,50;"26/06/2025 16:25";CET;1254580;35673551,60;28,50;26/06/2025
"LOKOTECH GROUP";NO0010921299;LOKO;"Euronext Growth Oslo";NOK;0,50;0,668;0,496;0,62;"26/06/2025 16:25";CET;16858543;9788093,49;0,62;26/06/2025
"LOKOTECH GROUP TR";NO0013554253;LOKOS;"Euronext Growth Oslo";NOK;0,1705;0,25;0,1705;0,182;"26/06/2025 16:25";CET;7874824;1791879,5085;0,182;26/06/2025
"LUMI GRUPPEN";NO0010927288;LUMI;"Euronext Growth Oslo";NOK;14,40;14,40;14,40;14,40;"26/06/2025 10:51";CET;1940;27936,00;14,40;26/06/2025
"LYTIX BIOPHARMA";NO0010405780;LYTIX;"Euronext Growth Oslo";NOK;9,22;9,26;8,72;9,00;"26/06/2025 16:25";CET;72125;649305,02;9,00;26/06/2025
"M VEST WATER";NO0010976343;MVW;"Euronext Growth Oslo";NOK;9,70;9,70;9,68;9,68;"26/06/2025 14:56";CET;1500;14538,00;9,68;26/06/2025
MAGNORA;NO0010187032;MGN;"Oslo Børs";NOK;24,40;24,40;23,75;24,20;"26/06/2025 16:25";CET;95676;2296181,20;24,20;26/06/2025
MATVAREEXPRESSEN;NO0013008664;MVE;"Euronext Growth Oslo";NOK;113,00;113,00;113,00;113,00;"25/06/2025 13:03";CET;300;33900,00;113,00;26/06/2025
MEDISTIM;NO0010159684;MEDI;"Oslo Børs";NOK;203,00;211,00;203,00;211,00;"26/06/2025 16:27";CET;7443;1539951,00;211,00;26/06/2025
"MELHUS SPAREBANK";NO0006001908;MELG;"Oslo Børs";NOK;175,00;177,96;174,00;177,96;"26/06/2025 14:56";CET;3936;688730,36;177,96;26/06/2025
MORELD;NO0013325506;MORLD;"Oslo Børs";NOK;14,60;14,78;14,30;14,50;"26/06/2025 16:26";CET;23341;336250,60;14,50;26/06/2025
"MORROW BANK";NO0010694029;MOBA;"Oslo Børs";NOK;11,35;11,45;11,25;11,25;"26/06/2025 16:28";CET;162019;1837035,60;11,25;26/06/2025
MOWI;NO0003054108;MOWI;"Oslo Børs";NOK;190,40;191,00;189,20;189,90;"26/06/2025 16:25";CET;625001;118746441,90;189,90;26/06/2025
"MPC CONTAINER SHIP";NO0010791353;MPCC;"Oslo Børs";NOK;16,32;16,32;15,83;15,97;"26/06/2025 16:29";CET;2270657;36253395,235;15,97;26/06/2025
"MPC ENERGY SOLUTIO";NL0015268814;MPCES;"Euronext Growth Oslo";NOK;10,10;10,30;10,10;10,15;"25/06/2025 13:59";CET;8187;82778,70;10,15;26/06/2025
MULTICONSULT;NO0010734338;MULTI;"Oslo Børs";NOK;197,50;199,50;196,50;199,00;"26/06/2025 16:25";CET;12521;2487623,00;199,00;26/06/2025
MÅSØVAL;NO0010974983;MAS;"Euronext Growth Oslo";NOK;23,20;23,20;20,80;22,10;"26/06/2025 15:57";CET;10608;228928,60;22,10;26/06/2025
NAPATECH;DK0060520450;NAPA;"Oslo Børs";NOK;26,35;26,70;25,30;25,40;"26/06/2025 16:25";CET;108982;2816789,15;25,40;26/06/2025
NAVAMEDIC;NO0010205966;NAVA;"Oslo Børs";NOK;21,60;21,70;21,20;21,60;"26/06/2025 16:25";CET;13587;292447,90;21,60;26/06/2025
NEKKAR;NO0003049405;NKR;"Oslo Børs";NOK;10,05;10,20;10,05;10,20;"26/06/2025 16:25";CET;6056;61356,70;10,20;26/06/2025
NEL;NO0010081235;NEL;"Oslo Børs";NOK;2,43;2,466;2,42;2,438;"26/06/2025 16:25";CET;2261478;5528452,07;2,438;26/06/2025
